,track_id,artists,album_name,track_name,duration_ms,genre
8000,5MAK1nd8R6PWnle1Q1WJvh,Everybody Loves an Outlaw,I See Red,I See Red,230613,blues
8001,2tznHmp70DxMyr2XhWLOW0,Cage The Elephant,Melophobia,Cigarette Daydreams,208760,blues
8002,7vguMCv8uVuZLiQJ156u3Z,Sam Tinnesz;Yacht Money,Play with Fire (feat. Yacht Money),Play with Fire (feat. Yacht Money),180690,blues
8003,3dPQuX8Gs42Y7b454ybpMR,The White Stripes,Elephant,Seven Nation Army,232106,blues
8004,6zC0mpGYwbNTpk9SKwh08f,Eric Clapton,Slowhand 35th Anniversary (Super Deluxe),Wonderful Tonight,225026,blues
8005,7K0WZ75nHqj450OYd3ZywF,The EverLove,Walk Through Fire,I'm Dangerous,243329,blues
8006,6T5i8eCUWZ92HOZtxt58LK,Aretha Franklin,Slow Down Soul,Angel,268040,blues
8007,6xqWfkMmiqbepWSXMj19K1,Aretha Franklin,Thanksgiving Party,This Girl's in Love with You,240773,blues
8008,7ho8AmAGyByBomWJPwThKX,Lynyrd Skynyrd,Sweet Home Alabama,Sweet Home Alabama,285373,blues
8009,1AO5q3PNXDWNwgern0S2zt,Lynyrd Skynyrd,70s Christmas Party,Sweet Home Alabama,285373,blues
8010,1GQMpacZAFmsYYmkT87gUw,ZZ Top,Timeless Rock Hits,Rough Boy,287426,blues
8011,0uZ14vmYf9O5LirYjN84GL,Ella Fitzgerald,pov: you hear the bells jingle,Sleigh Ride,175986,blues
8012,3GQ38rNsi6pPAAXiKUP1QT,Otis Redding,Session Acoustique,My Girl (Mono),175853,blues
8013,7idmN70yhFrMLLoC4Ufeak,Otis Redding,Thanksgiving Party,Wonderful World,191533,blues
8014,4L6mJJhYx3PNhKhaXX4BCw,Lynyrd Skynyrd,Country Car Hits,Simple Life,197106,blues
8015,08dNxhOkSsdUOaHthtIy91,Ella Fitzgerald,Christmas Eve At Home,Jingle Bells,143093,blues
8016,7pSga5MXj7IbOuRCVuadBR,Otis Redding,Thanksgiving Party,I Want to Thank You,160840,blues
8017,5OQeh0hl86gwzbhKJlCMLT,Otis Redding,Perfect Christmas Hits,Merry Christmas Baby,155560,blues
8018,4a5Dibxjp4I8e4DWHg6apf,Lynyrd Skynyrd,Country Road Songs,Simple Life,197106,blues
8019,5h2YLD9MLviHF25NNYYi9j,Otis Redding,Christmas Time,Merry Christmas Baby,155560,blues
8020,1ygKuPiMlPKKonNecBWlg0,Otis Redding,Holly Jolly Christmas,Merry Christmas Baby,155560,blues
8021,2yQJT5fopKSAdJB2aaLgwr,Ella Fitzgerald,World's Best Christmas Playlist,Sleigh Ride,175986,blues
8022,6uPNJqmDLsgAJnNTR5V7QP,ZZ Top,80's,Sharp Dressed Man - 2003 Remaster,253413,blues
8023,72E3wMPI5tVY7VoEWLSuhf,Ella Fitzgerald,CHRISTMAS TOP HITS 2022,Frosty The Snowman,131733,blues
8024,7vvQrcQCfq7SB8mxO9CRHq,Ella Fitzgerald,Rockin' Around The Christmas Tree 2022,Frosty The Snowman,131733,blues
8025,5ftfVzSLIi5ZxYdNbRtf41,The Black Keys,Coffee Moment,Never Gonna Give You Up,218986,blues
8026,1VNgkKygpjGFRrMRkzMJDh,Otis Redding,Cuddle Up Christmas,Merry Christmas Baby,155560,blues
8027,3Xrasa4unuME8UMwOnqIP9,Ray Charles,Thanksgiving Party,Ain't That Love,173906,blues
8028,0SidD5FXjLY20EffJQDAI7,Ella Fitzgerald,Rockin' Around The Christmas Tree 2022,Sleigh Ride,175986,blues
8029,07uPklAHdtkXATBcS9FvtS,Otis Redding,Christmas Music - Holiday Hits,Merry Christmas Baby,155560,blues
8030,5HfjKD2GdTKylx57dSemch,Otis Redding,All I want For Christmas Is Music,"Merry Christmas, Baby [take 1] - Take 1",152933,blues
8031,1g6C5sgsJHqW4XAdLyDp9A,Otis Redding,Merry Christmas,Merry Christmas Baby,155560,blues
8032,70mBn5A0cKtwGGMTrr0IXl,Ray Charles,Thanksgiving Party,Mess Around,160226,blues
8033,0TYB8WJ6x4DYepwUYIvBVX,Otis Redding,pov: you hear the bells jingle,"Merry Christmas, Baby [take 1] - Take 1",152933,blues
8034,6UPkgLF8SfiVmVGy5RYvIc,Ella Fitzgerald,World's Best Christmas Playlist,Frosty The Snowman,131733,blues
8035,5aRJTjJ7XbxXJmsZWM682b,Nina Simone,Supa Chill,"No Woman, No Cry (Outtake)",195933,blues
8036,1LFJLpGF7gexCurvUsjqG9,Ella Fitzgerald,Santa Claus Is Coming To Town,Frosty The Snowman,131733,blues
8037,7mspMgbrDiYlTaEMI7jNaO,Otis Redding,R'n'B Studying,I've Been Loving You Too Long,175653,blues
8038,7BVhqEVCS8UFWz1iW9dGut,Otis Redding,Thanksgiving Party,I've Been Loving You Too Long - Remastered Mono,181666,blues
8039,2nuV7cBiwVt2tU4sDkwj4I,Otis Redding,pov: you saw mommy kissing santa claus,"Merry Christmas, Baby [take 1] - Take 1",152933,blues
8040,68zhLiVF3gEKnmgtfCCsen,Otis Redding,World's Best Christmas Playlist,"Merry Christmas, Baby [take 1] - Take 1",152933,blues
8041,4AFsnSFhRS5tc07RDKsY1z,Ella Fitzgerald,Home At Christmas,Jingle Bells,143093,blues
8042,2Ok3RB6OuSkV140AgyCuqd,Lynyrd Skynyrd,Rock Workout 2023,Sweet Home Alabama,285373,blues
8043,0X6unr81shIRDbdW5aMFSM,Ella Fitzgerald,Home For Christmas 2022,Jingle Bells,143093,blues
8044,5SGoc2TZZ7xGdLQ7kpU06d,Otis Redding,Christmas Dinner,"Merry Christmas, Baby [take 1] - Take 1",152933,blues
8045,7sdaD6KTdB6mU1E79NVnwW,Ella Fitzgerald,Rockin' Around The Christmas Tree 2022,Rudolph The Red-Nosed Reindeer,171773,blues
8046,0pS25QJ0g83B2OIu9je81g,Ella Fitzgerald,Santa Claus Is Coming To Town,Rudolph The Red-Nosed Reindeer,171773,blues
8047,4GPQDyw9hC1DiZVh0ouDVL,The Black Keys,OK Boomers - Top Tunes,Keep My Name Outta Your Mouth,189356,blues
8048,1gJrH78tBc0ymRXZiizxKx,Lynyrd Skynyrd,Best 70s Rock Tunes,Sweet Home Alabama,285373,blues
8049,6fsHeJsRAscaPO6Wi8zwTX,Lynyrd Skynyrd,Best 70s Rock Tunes,Sweet Home Alabama,285373,blues
8050,0edRP0RpOUrjHbbGPSYzaH,Ella Fitzgerald,Christmas Songs 2022,Frosty The Snowman,131733,blues
8051,5zz9ypkkewsz1sfqntWOn1,Ella Fitzgerald,christmas but not christmas songs,Blue Skies,225160,blues
8052,7zrxUrilLtTk4XnT5G7zF8,Ella Fitzgerald,All I Want For Christmas Is You,Frosty The Snowman,131733,blues
8053,0ctlOXCRfpjRUkBcQxs3nu,Ella Fitzgerald,Christmas Classics,Frosty The Snowman,131733,blues
8054,4xaECM92qrcin1GVjjtlX2,Ella Fitzgerald,GOD JUL,Sleigh Ride,175986,blues
8055,1lJWopyBsnNY029HUETv0R,Ella Fitzgerald,Rock Christmas 2022 - The Very Best Of,Frosty The Snowman,131733,blues
8056,4UGYAzxUtzLllltVU4gaS8,Ella Fitzgerald,Holidays Are Coming,Frosty The Snowman,131733,blues
8057,72E3wMPI5tVY7VoEWLSuhf,Ella Fitzgerald,CHRISTMAS TOP HITS 2022,Frosty The Snowman,131733,blues
8058,38UDPaDM2jZMRv4aEXhdi3,Ella Fitzgerald;Louis Armstrong,Un tecito y a mimir,Stars Fell On Alabama,211720,blues
8059,0XOoWlEiKzyF5VS4oh3Yb6,Ella Fitzgerald,pov: you are walking in a winter wonderland,Sleigh Ride,175986,blues
8060,4BoAuxhz1bOHMpeeQk3r8I,Ella Fitzgerald,Holiday Anthems 2022,Rudolph The Red-Nosed Reindeer,171773,blues
8061,7i0UYyimBRONNLjNdsfVBz,Ella Fitzgerald,Christmas Best Hits 2022,Frosty The Snowman,131733,blues
8062,4Ovn5T4LAEE8mfYtsmjLoA,Ella Fitzgerald,Christmas Dinner 2022,Frosty The Snowman,131733,blues
8063,0X6q6lE4evlnpVKozjg5Tm,Ella Fitzgerald,Christmas Eve At Home,Frosty The Snowman,131733,blues
8064,7ccsKU0u0EB123rIg20ktB,Ella Fitzgerald,Beste Weihnachtslieder,Frosty The Snowman,131733,blues
8065,4fV4ENJPXONNMtGiujA2Hj,Ella Fitzgerald,Best Christmas Playlist Ever 2022,Frosty The Snowman,131733,blues
8066,7odt0XkmUk2EGgH9pdzwRQ,Ella Fitzgerald,Christmas Eve At Home,Winter Wonderland,137026,blues
8067,2jz3CiLG3MLOqZ9gOv6z1A,Ella Fitzgerald,Home For Christmas 2022,Frosty The Snowman,131733,blues
8068,1xbpqLQibJSDku2aug3xet,Ella Fitzgerald,Weihnachten Musik,Frosty The Snowman,131733,blues
8069,2E1sUwtH4AANynciTbL36h,Ella Fitzgerald,JULMUSIK,Rudolph The Red-Nosed Reindeer,171773,blues
8070,5E8pCmwdxQSnYsUwAtkLGO,Ella Fitzgerald,Jingle Bell Rock 2022,Sleigh Ride,175986,blues
8071,4sBchehueRZr8z4gg3OgbE,Ella Fitzgerald,Rock Christmas 2022 - The Very Best Of,Rudolph The Red-Nosed Reindeer,171773,blues
8072,4RWsVVHr55gPDn1FjeQJNT,Ella Fitzgerald,Beste Weihnachtslieder,Rudolph The Red-Nosed Reindeer,171773,blues
8073,37NRNwqKLqtzMpVfBuhl0n,Ella Fitzgerald;Louis Armstrong,Desayuno en calma,They Can't Take That Away From Me,277706,blues
8074,3e95Yjkzhw8oR2pR1BPQpI,Ella Fitzgerald,Chill Christmas Dinner,The Secret Of Christmas,168146,blues
8075,5Vv9gXd6HmKtjMgeQbYWq5,Ella Fitzgerald,Classic Christmas Greatest Hits,Have Yourself A Merry Little Christmas,175840,blues
8076,357pRaRB0tID9c98Eg2TDn,Ella Fitzgerald;Louis Armstrong,christmas but not christmas songs,Cheek To Cheek,353647,blues
8077,2lXbxgwCKdw8wfwjJkeknL,Ella Fitzgerald,Classic Christmas 2022,White Christmas,181186,blues
8078,7kj7fG3A6mYLDMfxDejfzm,Ella Fitzgerald,CHRISTMAS TOP HITS 2022,Sleigh Ride,175986,blues
8079,5siu3VgukcO864Zsgmqvde,Ella Fitzgerald,A Very 60s Christmas,Sleigh Ride,175986,blues
8080,1p7X6d0pxUclbrO6hg8uTS,Ella Fitzgerald,All I Want For Christmas Is You,Rudolph The Red-Nosed Reindeer,171773,blues
8081,3GL5VxEIqjPf4BfQb3NV2C,Ella Fitzgerald,Weihnachtslieder 2022,Frosty The Snowman,131733,blues
8082,4aWqVlWZwVfuSTVucZrb65,Ella Fitzgerald;Louis Armstrong,pov: you are an christmas elf,Cheek To Cheek,353647,blues
8083,4tMBFkwGyBlZj2Rl1R7mwP,Ella Fitzgerald,Christmas Soul Classics,Sleigh Ride,175986,blues
8084,7dY9gGn93i4EoH7oUk2uP4,Ella Fitzgerald,Twisted Halloween Hits,"Bewitched, Bothered, And Bewildered - Stereo Version",424317,blues
8085,5tuDHaJLO812gIgdf0Llp7,Ella Fitzgerald,Jingle Bell Rock 2022,Rudolph The Red-Nosed Reindeer,171773,blues
8086,53rqZwcMhjXuXDy1IxRi22,Ella Fitzgerald,Holidays Are Coming,Sleigh Ride,175986,blues
8087,1rv0r12Wme7GOIZ0hwIO6r,Ella Fitzgerald,christmas but not christmas songs,Hotta Chocolatta,187026,blues
8088,3AXWBC3J6CiYXohrN2dRiZ,Ella Fitzgerald,Spooky Scary Season,Ding-Dong! The Witch Is Dead,197573,blues
8089,1VE9nQhNIs8Xzyy10GxWhB,Ella Fitzgerald,Best Christmas Songs 2022,Sleigh Ride,175986,blues
8090,07vXvRYejavLger1TGzOju,Ella Fitzgerald,Best Christmas Songs 2022,Hotta Chocolatta,187026,blues
8091,7nMjgX8uYCl2SDQuArcWv9,Ella Fitzgerald,pov: you have a holly jolly christmas,Sleigh Ride,175986,blues
8092,7pfC2uUEuDEzMYKVblIXb8,Ella Fitzgerald,The Very Best Christmas Songs 2022,Sleigh Ride,175986,blues
8093,2pkHL5CQzguxHbomLhziwH,Ella Fitzgerald,Holiday Favorites 2022,Frosty The Snowman,131733,blues
8094,3zyz5T5qFjk1oSw5RIqf9V,Ella Fitzgerald,Christmas Only: The Timeless Classic Collection,Have Yourself a Merry Little Christmas,175280,blues
8095,00970cTs7LnxWt0d5Qk08m,Ella Fitzgerald,Weihnachtslieder 2022,Sleigh Ride,175986,blues
